Title,URL
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction
Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science
Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning
IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy
IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations
Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science
Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Python for Everybody Specialization,https://www.coursera.org/specializations/python
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java
Construction Management Specialization,https://www.coursera.org/specializations/construction-management
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r
